discipline,rank,name,dupr
MD,1,Ben Johns,7.121
MD,2,JW Johnson,7.006
MD,3,Hayden Patriquin,6.943
MD,4,Gabriel Tardio,6.923
MD,5,Andrei Daescu,6.889
MD,6,Christian Alshon,6.881
MD,7,Federico Staksrud,6.708
MD,8,Riley Newman,6.688
MD,9,Eric Oncins,6.688
MD,10,Jay Devilliers,6.616
MD,11,Connor Garnett,6.598
MD,12,CJ Klinger,6.563
MD,13,Nicolas Acevedo,6.547
MD,14,Will Howells,6.546
MD,15,Noe Khlif,6.544
MD,16,Jack Sock,6.542
MD,17,Dylan Frazier,6.507
MD,18,Dekel Bar,6.494
MD,19,Hunter Johnson,6.451
MD,20,Jaume Martinez Vich,6.392
MD,21,Pablo Tellez,6.385
MD,22,Augustus Ge,6.345
MD,23,Tyson Mcguffin,6.328
MD,24,Jack Munro,6.323
MD,25,Matt Wright,6.318
MD,26,Armaan Bhatia,6.318
MD,27,Martin Emmrich,6.297
MD,28,Maxwell Freeman,6.294
MD,29,Jonathan Truong,6.293
MD,30,Roscoe Bellamy,6.285
MD,31,Tyler Loong,6.275
MD,32,Anderson Scarpa,6.275
MD,33,Marshall Brown,6.272
MD,34,Michael Loyd,6.266
MD,35,Travis Rettenmaier,6.260
MD,36,Max Manthou,6.260
MD,37,Blaine Hovenier,6.260
MD,38,Rafa Hewett,6.257
MD,39,Ammar Wazir,6.253
MD,40,Quang Duong,6.245
MD,41,Julian Arnold,6.243
MD,42,Yuta Funemizu,6.243
MD,43,John Goins,6.237
MD,44,Casey Diamond,6.235
MD,45,Zane Navratil,6.233
MD,46,Luca Mack,6.227
MD,47,Steve Deakin,6.218
MD,48,Patrick Kawka,6.210
MD,49,Christopher Haworth,6.201
MD,50,Spencer Lanier,6.201
WD,1,Anna Leigh Waters,6.987
WD,2,Anna Bright,6.598
WD,3,Hurricane Tyra Black,6.306
WD,4,Jorja Johnson,6.298
WD,5,Parris Todd,6.273
WD,6,Sofia Sewing,6.262
WD,7,Rachel Rohrabacher,6.238
WD,8,Jackie Kawamoto,6.231
WD,9,Tina Pisnik,6.228
WD,10,Jade Kawamoto,6.188
WD,11,Mariechristine Salvas,6.121
WD,12,Kate Fahey,6.115
WD,13,Katerina Stewart,6.103
WD,14,Catherine Parenteau,6.082
WD,15,Mariana Humberg,6.042
WD,16,Roos Van Reek,6.027
WD,17,Danni-Elle Townsend,6.025
WD,18,Eugenia Carolina Lopez Ascarate,6.024
WD,19,Jillian Braverman,6.007
WD,20,Etta Tuionetoa,6.002
WD,21,Vivian Glozman,5.993
WD,22,Megan Fudge,5.986
WD,23,Lacy Schneemann,5.974
WD,24,Meghan Dizon,5.946
WD,25,Bobbi Oshiro,5.942
WD,26,Emilia Schmidt,5.920
WD,27,Allison Harris,5.902
WD,28,Angela Simon,5.894
WD,29,Allyce Jones,5.886
WD,30,Ewa Radzikowska,5.855
WD,31,Christine Maddox,5.852
WD,32,Chao Yi Wang,5.846
WD,33,Aibika Kalsarieva,5.834
WD,34,Kelsey Matthews,5.822
WD,35,Sahra Dennehy,5.818
WD,36,Pam Ruoff,5.818
WD,37,Trang Huynh,5.816
WD,38,Sheri Courter,5.811
WD,39,Ting Chieh Wei,5.808
WD,40,Lauren Cole,5.808
WD,41,Carlota Trevino,5.801
WD,42,Brooke Buckner,5.799
WD,43,Daria Walczak,5.794
WD,44,Jessie Irvine,5.779
WD,45,Alix Truong,5.778
WD,46,Lea Jansen,5.768
WD,47,Zoey Weil,5.766
WD,48,Milan Rane,5.760
WD,49,Isabella Dunlap,5.757
